<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
HDFCBANK,04/20/2021,10:29:00,1409.85,1411.10,1409.40,1410.75,16035,0
HDFCBANK,04/20/2021,10:30:00,1410.75,1411.30,1409.50,1409.50,15250,0
HDFCBANK,04/20/2021,10:31:00,1409.50,1410.15,1409.50,1410.05,13216,0
HDFCBANK,04/20/2021,10:32:00,1410.00,1410.10,1408.00,1408.00,30443,0
HDFCBANK,04/20/2021,10:33:00,1408.05,1408.75,1407.00,1408.65,29718,0
HDFCBANK,04/20/2021,10:34:00,1408.65,1409.05,1408.60,1408.95,13642,0
HDFCBANK,04/20/2021,10:35:00,1409.00,1409.00,1408.30,1408.45,22306,0
HDFCBANK,04/20/2021,10:36:00,1408.40,1409.50,1408.05,1409.40,12565,0
HDFCBANK,04/20/2021,10:37:00,1409.40,1409.90,1409.00,1409.25,12640,0
HDFCBANK,04/20/2021,10:38:00,1409.85,1411.00,1409.50,1410.50,19483,0
HDFCBANK,04/20/2021,10:39:00,1410.55,1410.95,1410.45,1410.75,9488,0
HDFCBANK,04/20/2021,10:40:00,1410.75,1412.00,1410.75,1411.75,19170,0
HDFCBANK,04/20/2021,10:41:00,1411.95,1412.00,1410.10,1410.95,22534,0
HDFCBANK,04/20/2021,10:42:00,1411.00,1411.45,1410.85,1411.15,11249,0
HDFCBANK,04/20/2021,10:43:00,1411.45,1411.45,1411.00,1411.05,44257,0
HDFCBANK,04/20/2021,10:44:00,1411.10,1412.00,1411.00,1411.95,14864,0
HDFCBANK,04/20/2021,10:45:00,1412.00,1412.00,1411.05,1411.50,18511,0
HDFCBANK,04/20/2021,10:46:00,1411.45,1411.50,1409.30,1410.90,26067,0
HDFCBANK,04/20/2021,10:47:00,1410.60,1411.50,1410.60,1411.45,14651,0
HDFCBANK,04/20/2021,10:48:00,1411.45,1411.55,1411.20,1411.50,19426,0
HDFCBANK,04/20/2021,10:49:00,1411.60,1411.60,1410.20,1411.50,22783,0
HDFCBANK,04/20/2021,10:50:00,1411.50,1411.55,1410.90,1411.10,24038,0
HDFCBANK,04/20/2021,10:51:00,1411.25,1412.00,1411.10,1411.90,26474,0
HDFCBANK,04/20/2021,10:52:00,1411.90,1412.00,1410.30,1412.00,34351,0
HDFCBANK,04/20/2021,10:53:00,1411.85,1412.35,1411.70,1412.00,23654,0
HDFCBANK,04/20/2021,10:54:00,1412.00,1412.90,1412.00,1412.50,19034,0
HDFCBANK,04/20/2021,10:55:00,1412.50,1412.60,1411.40,1412.00,27970,0
HDFCBANK,04/20/2021,10:56:00,1411.95,1412.15,1411.15,1412.05,13541,0
HDFCBANK,04/20/2021,10:57:00,1412.15,1413.20,1412.00,1413.00,21961,0
HDFCBANK,04/20/2021,10:58:00,1413.00,1413.00,1411.95,1412.10,22168,0
HDFCBANK,04/20/2021,10:59:00,1411.95,1412.60,1411.50,1412.50,12168,0
HDFCBANK,04/20/2021,11:00:00,1412.45,1412.80,1412.00,1412.80,9218,0
HDFCBANK,04/20/2021,11:01:00,1412.80,1413.00,1412.75,1413.00,7660,0
HDFCBANK,04/20/2021,11:02:00,1412.95,1412.95,1412.00,1412.85,21457,0
HDFCBANK,04/20/2021,11:03:00,1412.80,1413.00,1412.05,1413.00,17457,0
HDFCBANK,04/20/2021,11:04:00,1413.00,1414.45,1412.95,1413.65,56242,0
HDFCBANK,04/20/2021,11:05:00,1413.45,1413.95,1412.35,1413.90,43122,0
HDFCBANK,04/20/2021,11:06:00,1414.00,1414.00,1411.55,1411.60,34450,0
HDFCBANK,04/20/2021,11:07:00,1411.55,1413.30,1411.15,1413.05,20863,0
HDFCBANK,04/20/2021,11:08:00,1413.10,1413.40,1412.55,1413.00,15791,0
HDFCBANK,04/20/2021,11:09:00,1413.00,1413.00,1412.00,1412.50,23990,0
HDFCBANK,04/20/2021,11:10:00,1412.50,1413.05,1411.95,1412.00,42036,0
HDFCBANK,04/20/2021,11:11:00,1412.00,1413.20,1411.25,1413.15,40952,0
HDFCBANK,04/20/2021,11:12:00,1413.20,1413.40,1412.90,1412.95,17093,0
HDFCBANK,04/20/2021,11:13:00,1412.90,1413.95,1412.20,1413.10,35911,0
HDFCBANK,04/20/2021,11:14:00,1413.15,1413.15,1412.20,1412.50,37635,0
HDFCBANK,04/20/2021,11:15:00,1412.60,1413.15,1412.00,1412.95,22020,0
HDFCBANK,04/20/2021,11:16:00,1412.85,1412.95,1412.30,1412.50,19109,0
HDFCBANK,04/20/2021,11:17:00,1412.50,1413.05,1411.50,1412.70,42666,0
HDFCBANK,04/20/2021,11:18:00,1412.80,1412.80,1411.35,1411.45,16954,0
HDFCBANK,04/20/2021,11:19:00,1411.55,1411.65,1410.45,1410.50,19573,0
HDFCBANK,04/20/2021,11:20:00,1410.50,1410.65,1409.30,1409.45,36137,0
HDFCBANK,04/20/2021,11:21:00,1409.50,1409.55,1408.10,1409.55,35584,0
HDFCBANK,04/20/2021,11:22:00,1409.55,1409.55,1408.80,1408.80,18206,0
HDFCBANK,04/20/2021,11:23:00,1408.85,1409.00,1408.05,1408.80,18292,0
HDFCBANK,04/20/2021,11:24:00,1408.85,1408.85,1406.00,1406.00,57395,0
HDFCBANK,04/20/2021,11:25:00,1406.35,1406.35,1403.50,1405.50,66398,0
HDFCBANK,04/20/2021,11:26:00,1405.50,1405.90,1404.45,1405.75,28760,0
HDFCBANK,04/20/2021,11:27:00,1405.80,1405.80,1404.60,1405.30,16535,0
HDFCBANK,04/20/2021,11:28:00,1405.35,1405.35,1404.00,1404.40,31051,0
HDFCBANK,04/20/2021,11:29:00,1404.40,1405.50,1404.00,1404.00,31262,0
HDFCBANK,04/20/2021,11:30:00,1404.00,1405.15,1403.15,1404.70,25786,0
HDFCBANK,04/20/2021,11:31:00,1404.70,1406.85,1404.70,1406.20,39172,0
HDFCBANK,04/20/2021,11:32:00,1406.20,1407.15,1405.65,1406.40,82344,0
HDFCBANK,04/20/2021,11:33:00,1406.05,1406.60,1405.30,1406.55,19511,0
HDFCBANK,04/20/2021,11:34:00,1406.05,1406.60,1405.45,1406.40,10045,0
HDFCBANK,04/20/2021,11:35:00,1406.45,1407.40,1406.40,1407.40,10274,0
HDFCBANK,04/20/2021,11:36:00,1407.45,1407.80,1406.10,1406.25,18406,0
HDFCBANK,04/20/2021,11:37:00,1406.30,1407.00,1406.25,1406.75,5378,0
HDFCBANK,04/20/2021,11:38:00,1406.70,1408.00,1406.70,1408.00,9547,0
HDFCBANK,04/20/2021,11:39:00,1408.00,1408.00,1407.75,1407.90,9497,0
HDFCBANK,04/20/2021,11:40:00,1407.90,1408.40,1407.70,1408.25,14439,0
HDFCBANK,04/20/2021,11:41:00,1408.35,1408.90,1407.85,1408.75,12660,0
HDFCBANK,04/20/2021,11:42:00,1408.65,1410.00,1408.65,1409.50,21446,0
HDFCBANK,04/20/2021,11:43:00,1409.70,1410.50,1409.65,1410.25,16543,0
HDFCBANK,04/20/2021,11:44:00,1410.35,1410.45,1409.55,1410.35,16921,0
HDFCBANK,04/20/2021,11:45:00,1410.20,1411.00,1410.00,1410.45,19850,0
