,index,datetime,close,ticker
44771,44771,2021-05-31 02:11:00,3.45,BCP
44772,44772,2021-05-31 02:12:00,3.45,BCP
44773,44773,2021-05-31 02:13:00,3.45,BCP
44774,44774,2021-05-31 02:14:00,3.45,BCP
44775,44775,2021-05-31 02:15:00,3.45,BCP
44776,44776,2021-05-31 02:16:00,3.45,BCP
44777,44777,2021-05-31 02:17:00,3.45,BCP
44778,44778,2021-05-31 02:18:00,3.45,BCP
44779,44779,2021-05-31 02:19:00,3.45,BCP
44780,44780,2021-05-31 02:20:00,3.45,BCP
44781,44781,2021-05-31 02:21:00,3.45,BCP
44782,44782,2021-05-31 02:22:00,3.45,BCP
44783,44783,2021-05-31 02:23:00,3.45,BCP
44784,44784,2021-05-31 02:24:00,3.45,BCP
44785,44785,2021-05-31 02:25:00,3.45,BCP
44786,44786,2021-05-31 02:26:00,3.45,BCP
44787,44787,2021-05-31 02:27:00,3.45,BCP
44788,44788,2021-05-31 02:28:00,3.45,BCP
44789,44789,2021-05-31 02:29:00,3.45,BCP
44790,44790,2021-05-31 02:30:00,3.45,BCP
44791,44791,2021-05-31 02:31:00,3.45,BCP
44792,44792,2021-05-31 02:32:00,3.45,BCP
44793,44793,2021-05-31 02:33:00,3.45,BCP
44794,44794,2021-05-31 02:34:00,3.45,BCP
44795,44795,2021-05-31 02:35:00,3.45,BCP
44796,44796,2021-05-31 02:36:00,3.45,BCP
44797,44797,2021-05-31 02:37:00,3.45,BCP
44798,44798,2021-05-31 02:38:00,3.45,BCP
44799,44799,2021-05-31 02:39:00,3.45,BCP
44800,44800,2021-05-31 02:40:00,3.45,BCP
44801,44801,2021-05-31 02:41:00,3.45,BCP
44802,44802,2021-05-31 02:42:00,3.45,BCP
44803,44803,2021-05-31 02:43:00,3.45,BCP
44804,44804,2021-05-31 02:44:00,3.45,BCP
44805,44805,2021-05-31 02:45:00,3.45,BCP
44806,44806,2021-05-31 02:46:00,3.45,BCP
44807,44807,2021-05-31 02:47:00,3.45,BCP
44808,44808,2021-05-31 02:48:00,3.45,BCP
44809,44809,2021-05-31 02:49:00,3.45,BCP
44810,44810,2021-05-31 02:50:00,3.45,BCP
44811,44811,2021-05-31 02:51:00,3.45,BCP
44812,44812,2021-05-31 02:52:00,3.45,BCP
44813,44813,2021-05-31 02:53:00,3.45,BCP
44814,44814,2021-05-31 02:54:00,3.45,BCP
44815,44815,2021-05-31 02:55:00,3.45,BCP
44816,44816,2021-05-31 02:56:00,3.45,BCP
44817,44817,2021-05-31 02:57:00,3.45,BCP
44818,44818,2021-05-31 02:58:00,3.45,BCP
44819,44819,2021-05-31 02:59:00,3.45,BCP
44820,44820,2021-05-31 03:00:00,3.45,BCP
44821,44821,2021-05-31 03:01:00,3.45,BCP
44822,44822,2021-05-31 03:02:00,3.45,BCP
44823,44823,2021-05-31 03:03:00,3.45,BCP
